"candidate_id","candidate_name","party_id","election_id"
82,Akua Donkor,5,7
83,Albert Adu Boahen,16,1
84,Alfred Kwame Asiedu Walker,10,7
85,Augustus Obuadum Tanoh,15,3
86,Brigitte Akosua Dzogbenuku,21,7
87,Charles Wereko-Brobby,24,3
88,Christian Kwabena Andrews,6,7
89,Dan Lartey,9,3
90,David Asibi Ayindenaba Apasera,19,7
91,Edward Mahama,19,2
92,Edward Mahama,19,3
93,Edward Mahama,7,4
94,Edward Mahama,19,5
95,Edward Mahama,19,6
96,Emmanuel Ansah-Antwi,3,5
97,Emmanuel Erskine,18,1
98,George Aggudey,2,4
99,George Hagan,2,3
100,Hasan Ayariga,1,7
101,Henry Herbert Lartey,9,7
102,Hilla Limann,19,1
103,Ivor Greenstreet,2,6
104,Ivor Kwabena Greenstreet,2,7
105,Jacob Osei Yeboah,10,6
106,Jerry Rawlings,12,1
107,Jerry Rawlings,12,2
108,John Atta Mills,12,3
109,John Atta Mills,12,4
110,John Atta Mills,12,5
111,John Dramani Mahama,12,6
112,John Dramani Mahama,12,7
113,John Kufuor,16,2
114,John Kufuor,16,3
115,John Kufuor,16,4
116,Kwabena Adjei,22,5
117,Kwabena Darko,14,1
118,Kwasi Amoafo-Yeboah,10,5
119,Nana Addo Dankwa Akufo-Addo,16,7
120,Nana Akufo-Addo,16,5
121,Nana Akufo-Addo,16,6
122,Nana Konadu Agyeman Rawlings,13,6
123,Nana Konadu Agyeman Rawlings,13,7
124,Paa Kwesi Nduom,2,5
125,Paa Kwesi Nduom,21,6
126,Percival Kofi Akpaloo,11,7
127,Thomas Ward-Brew,4,5
